name,name_tag,elev,wsun,kappa,beta,t,wsky
pano_afanzeqklagtbf,,0.93666,0.16284 0.16613 0.16952,0.27551,7.85888,19.69621,0.39824 0.40639 0.41947
pano_ahauzbmansusqz,,0.28102,0.37332 0.35351 0.32230,0.07241,22.10729,17.79728,0.34094 0.34173 0.34852
pano_atdvgzdberyvkn,,0.65909,1.20978 1.14677 1.05926,0.08717,18.08695,19.53168,0.45363 0.47271 0.49528
pano_awouoctwfnhqsv,,0.62607,0.21294 0.22060 0.22940,0.40596,9.62653,21.14034,0.44819 0.46860 0.49390
pano_ajbqpeheatapua,,0.68967,0.93533 0.89037 0.82580,0.11081,14.85468,19.54725,0.55119 0.56927 0.58646
pano_aqfxsyzpnknutr,,1.20766,0.08790 0.08594 0.08713,0.11109,0.16607,15.20579,0.54316 0.51154 0.47697
pano_aquzomrdweidez,,0.59841,1.98447 1.88870 1.76302,0.13038,16.67815,20.98391,0.61369 0.65250 0.68969
pano_aanjuibsevjzdd,,0.11921,0.54929 0.54586 0.55804,0.21347,0.57404,19.60297,0.78203 0.79712 0.79628
pano_awxfqeyniyxrcf,,0.85010,0.14184 0.14240 0.14342,0.23507,3.45527,18.80890,0.52265 0.52144 0.51942
pano_azbumluiwzlexx,,1.07657,1.14467 1.08798 1.00626,0.08847,18.73137,19.46814,0.45212 0.47030 0.49191
pano_abfjypckjitdut,,0.17527,0.02337 0.02499 0.02536,0.73606,49.19827,19.97319,0.15950 0.16538 0.18300
pano_absqedyaeyigmp,,0.58191,0.20442 0.20218 0.19695,0.22462,11.63987,19.33818,0.48741 0.49312 0.50066
pano_afmxufdldrlbdh,,1.11271,0.07758 0.08355 0.09519,0.51996,0.27706,19.83234,0.60160 0.60681 0.60639
pano_ahakcalwwdyddd,,0.97826,0.13746 0.14061 0.14802,0.29864,0.76656,19.00122,0.61394 0.61312 0.60629
pano_ahfeqepnmvxvey,,0.79055,1.68131 1.59933 1.48608,0.09983,20.11990,20.31099,0.47774 0.50536 0.53665
pano_ahstvdctlcketr,,0.68013,0.33987 0.32218 0.30517,0.09192,1.58733,17.28601,0.64853 0.63544 0.61464
pano_ahsuiwekguqnwc,,0.34600,0.03018 0.03130 0.03222,0.41164,9.14109,18.55870,0.42000 0.41103 0.40660
pano_aiontvhcqeurlh,,0.42871,0.09360 0.09322 0.08881,0.21126,41.44657,18.51863,0.21130 0.21290 0.22410
pano_ajgwsiivqnscrq,,0.16141,1.82097 1.73840 1.62976,0.13361,14.30198,20.82787,0.63165 0.66897 0.70319
pano_ajihmcxjslkuop,,1.19590,0.68986 0.66646 0.64006,0.14529,4.29634,19.45584,0.67148 0.68651 0.69347
pano_aqwsvmgioykqvl,,0.49946,1.00767 0.95768 0.88394,0.08789,21.95534,19.44265,0.40224 0.41845 0.44010
pano_aqzlydufytzgul,,0.51257,0.02090 0.02308 0.02469,0.83132,48.08588,20.92696,0.17078 0.17963 0.20093
pano_avbfkvvhmkwibx,,0.25702,0.02391 0.02632 0.02810,0.87774,47.84202,21.29514,0.23327 0.24640 0.27309
pano_awwffyvszgwamw,,1.08105,1.14605 1.08923 1.00839,0.10102,16.48483,19.64399,0.52637 0.54675 0.56756
pano_axabrpntfhpngl,,0.40355,0.05321 0.05494 0.05861,0.32409,0.47976,17.83116,0.58723 0.57059 0.54952
pano_azaneesctxlqzh,,0.74627,0.27741 0.27209 0.26068,0.15294,17.86998,19.04726,0.37271 0.37903 0.39111
pano_aaaazxxvgsfelb,,1.10849,0.99322 0.95364 0.90703,0.13604,5.08108,19.68994,0.71389 0.73501 0.74611
pano_aaafewmzlyysue,,0.96349,2.23228 2.13520 2.01254,0.15348,12.12276,21.28369,0.74088 0.78828 0.82706
pano_aaajvoauwthyae,,0.95575,0.85708 0.81258 0.74524,0.09173,24.93368,19.37799,0.39716 0.41162 0.43184
pano_aabkxwhyrwizsa,,0.78580,1.25046 1.19080 1.10389,0.08353,22.58051,19.67164,0.37884 0.39747 0.42258
pano_aabmwtlnnexscd,,0.78035,2.18551 2.07991 1.94055,0.12609,18.44714,21.08955,0.59628 0.63628 0.67579
pano_aamsayfqfekzay,,1.14855,0.05811 0.05906 0.05702,0.34223,46.50671,18.78312,0.18588 0.18838 0.20117
pano_abbctchfkiagmj,,1.12626,1.39590 1.33236 1.24482,0.12345,13.58134,20.21674,0.61932 0.64799 0.67312
